Initials,Group (choose from drop down),Trial #,Flavour,Reaction time (in sec),"Accuracy (0=incorrect, 1=correct)",,,,,,,,,,,,,,,,,,,,,
PKL,control,1,orange,7.2,1,,,,,,,,,,,,,,,,,,,,,
PKL,control,2,strawberry,7.6,0,,,,,,,,,,,,,,,,,,,,,
PKL,control,3,cherry,10.1,0,,,,,,,,,,,,,,,,,,,,,
LAG,experimental,1,orange,10.15,0,,,,,,,,,,,,,,,,,,,,,
LAG,experimental,2,bubblegum,12.24,0,,,,,,,,,,,,,,,,,,,,,
LAG,experimental,3,lemon,10.52,0,,,,,,,,,,,,,,,,,,,,,
KAD,experimental,1,orange,12.8,1,,,,,,,,,,,,,,,,,,,,,
KAD,experimental,2,coconut,13.2,1,,,,,,,,,,,,,,,,,,,,,
KAD,experimental,3,lemon,23.95,0,,,,,,,,,,,,,,,,,,,,,
CEB,Control,1,grape,13.25,1,,,,,,,,,,,,,,,,,,,,,
CEB,control,2,coconut,18.5,1,,,,,,,,,,,,,,,,,,,,,
CEB,control,3,banana,14.86,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
VTC,control,1,banana,35.29,1,,,,,,,,,,,,,,,,,,,,,
VTC,control,2,cocnut,6.65,1,,,,,,,,,,,,,,,,,,,,,
VTC,control,3,strawberry,38.68,0,,,,,,,,,,,,,,,,,,,,,
PVG,experimental,1,grape,21.2,0,,,,,,,,,,,,,,,,,,,,,
PVG,experimental,2,coconut,16.25,0,,,,,,,,,,,,,,,,,,,,,
PVG,experimental,3,orange,9.79,0,,,,,,,,,,,,,,,,,,,,,
AED,experimental,1,lemon,26.5,1,,,,,,,,,,,,,,,,,,,,,
AED,experimental,2,grape,11.5,1,,,,,,,,,,,,,,,,,,,,,
AED,experimental,3,cherry,50.4,0,,,,,,,,,,,,,,,,,,,,,
RLH,control,1,coconut,4.5,1,,,,,,,,,,,,,,,,,,,,,
RLH,control,2,orange,2.6,1,,,,,,,,,,,,,,,,,,,,,
RLH,control,3,cherry,5.3,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
LGD,control,1,Cherry,35.78,0,,,,,,,,,,,,,,,,,,,,,
LGD,control,2,Banana,4.43,1,,,,,,,,,,,,,,,,,,,,,
LGD,control,3,Orange,6.35,0,,,,,,,,,,,,,,,,,,,,,
HKB,experimental,1,Orange,23.6,0,,,,,,,,,,,,,,,,,,,,,
HKB,experimental,2,Cherry,15.56,0,,,,,,,,,,,,,,,,,,,,,
HKB,experimental,3,Grape,20.13,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
LOK,experimental,1,Cherry,9,0,,,,,,,,,,,,,,,,,,,,,
LOK,experimental,2,Orange,3.7,1,,,,,,,,,,,,,,,,,,,,,
LOK,experimental,3,lemon/lime,10.8,1,,,,,,,,,,,,,,,,,,,,,
